company	city	email	segment	readiness_score	confidence_score
Uninova Hostel	Bratislava	uninovahostel@uninovahostel.sk	automation_candidate	92	99
REVON Art - deco apartment Laurinska	Bratislava	revon.sro@gmail.com	automation_candidate	91	91
Vila Ria	Bratislava	cestovanie@riasro.sk	automation_candidate	91	91
DIMAEL Hostel and Apartments	Bratislava	dimael@dimael.sk	automation_candidate	91	91
Penzión DONET	Bratislava	martinatalapkova@gmail.com	automation_candidate	91	91
Reštaurácia Albrecht	Staré Mesto	restaurant@hotelalbrecht.sk	automation_candidate	91	91
Hyde Park Hostel	Bratislava	talentarium@gmail.com	automation_candidate	91	91
Apollis Business & Budget by Ambiente	Bratislava	sales@ambiente-apartments.com	automation_candidate	85	91
Apartments City Centre s.r.o.	Bratislava	info@apartmentscitycentre.sk	automation_candidate	85	91
Raj Zdravia	Nové Mesto	raj@rajzdravia.sk	automation_candidate	85	91
More Than Accommodation	Petržalka	recepcia@morethan.sk	automation_candidate	85	91
BEIGLI Hotel & Garden	Bratislava	office@hotelbeigli.sk	automation_candidate	85	91
Garni Hotel DOCK	Bratislava	recepcia@hoteldock.sk	automation_candidate	85	91
Botel Dunajsky Pivovar	Bratislava	dunajskypivovar@dunajskypivovar.sk	automation_candidate	85	91
Hotel Arcus	Bratislava	info@hotelarcus.sk	automation_candidate	85	91
Centrum účelových zariadení - Hotel SUZA	Bratislava	cuz@cuz.sk	automation_candidate	85	91
Hotel Esprit	Petržalka	hotelesprit@hotelesprit.sk	automation_candidate	85	91
Villa Ivica	Marianka	villa@ivica.sk	automation_candidate	85	91
Reverie Hotel	Bratislava	info@senger.sk	automation_candidate	79	91
Ubytovanie v súkromí Privat Rooms Vilo	Bratislava	support@smartweb.sk	automation_candidate	79	91
