company,city,email,segment,readiness_score,confidence_score,subject_v2,email_v2
REVON Art - deco apartment Laurinska,Bratislava,revon.sro@gmail.com,automation_candidate,91,91,REVON Art - deco apartment Laurinska: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si REVON Art - deco apartment Laurinska v Bratislava – máte hodnotenie 5.0 (1 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre REVON Art - deco apartment Laurinska.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
Reverie Hotel,Bratislava,info@senger.sk,automation_candidate,79,91,Reverie Hotel: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Reverie Hotel v Bratislava – máte hodnotenie 4.1 (41 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Reverie Hotel.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
Apollis Business & Budget by Ambiente,Bratislava,sales@ambiente-apartments.com,automation_candidate,85,91,Apollis Business & Budget by Ambiente: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Apollis Business & Budget by Ambiente v Bratislava – máte hodnotenie 4.3 (47 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Apollis Business & Budget by Ambiente.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
Izy Stay,Bratislava,izybratislava@gmail.com,frontdesk_overload,71,75,Izy Stay: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Izy Stay v Bratislava – máte hodnotenie 3.9 (75 recenzií), pekný signál, že máte dobrý servis.

Recepcia je casto zatazena opakovanimi otazkami a to berie cas timu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Odlahcenie recepcie od opakovanych otazok.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Izy Stay.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
Vila Ria,Bratislava,cestovanie@riasro.sk,automation_candidate,91,91,Vila Ria: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Vila Ria v Bratislava – máte hodnotenie 4.3 (83 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Vila Ria.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
DIMAEL Hostel and Apartments,Bratislava,dimael@dimael.sk,automation_candidate,91,91,DIMAEL Hostel and Apartments: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si DIMAEL Hostel and Apartments v Bratislava – máte hodnotenie 4.9 (95 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre DIMAEL Hostel and Apartments.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
Apartments City Centre s.r.o.,Bratislava,info@apartmentscitycentre.sk,automation_candidate,85,91,Apartments City Centre s.r.o.: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Apartments City Centre s.r.o. v Bratislava – máte hodnotenie 4.3 (123 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Apartments City Centre s.r.o..
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
Penzión DONET,Bratislava,martinatalapkova@gmail.com,automation_candidate,91,91,Penzión DONET: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Penzión DONET v Bratislava – máte hodnotenie 4.8 (128 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Penzión DONET.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
Raj Zdravia,Nové Mesto,raj@rajzdravia.sk,automation_candidate,85,91,Raj Zdravia: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Raj Zdravia v Nové Mesto – máte hodnotenie 4.2 (136 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Raj Zdravia.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
Ubytovanie v súkromí Privat Rooms Vilo,Bratislava,support@smartweb.sk,automation_candidate,79,91,Ubytovanie v súkromí Privat Rooms Vilo: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si Ubytovanie v súkromí Privat Rooms Vilo v Bratislava – máte hodnotenie 3.9 (138 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Ubytovanie v súkromí Privat Rooms Vilo.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
