company	city	email	subject
REVON Art - deco apartment Laurinska	Bratislava	revon.sro@gmail.com	REVON Art - deco apartment Laurinska: menej zmeškaných rezervácií (AI recepcia)
Reverie Hotel	Bratislava	info@senger.sk	Reverie Hotel: menej zmeškaných rezervácií (AI recepcia)
Apollis Business & Budget by Ambiente	Bratislava	sales@ambiente-apartments.com	Apollis Business & Budget by Ambiente: menej zmeškaných rezervácií (AI recepcia)
Izy Stay	Bratislava	izybratislava@gmail.com	Izy Stay: menej zmeškaných rezervácií (AI recepcia)
Vila Ria	Bratislava	cestovanie@riasro.sk	Vila Ria: menej zmeškaných rezervácií (AI recepcia)
DIMAEL Hostel and Apartments	Bratislava	dimael@dimael.sk	DIMAEL Hostel and Apartments: menej zmeškaných rezervácií (AI recepcia)
Apartments City Centre s.r.o.	Bratislava	info@apartmentscitycentre.sk	Apartments City Centre s.r.o.: menej zmeškaných rezervácií (AI recepcia)
Penzión DONET	Bratislava	martinatalapkova@gmail.com	Penzión DONET: menej zmeškaných rezervácií (AI recepcia)
Raj Zdravia	Nové Mesto	raj@rajzdravia.sk	Raj Zdravia: menej zmeškaných rezervácií (AI recepcia)
Ubytovanie v súkromí Privat Rooms Vilo	Bratislava	support@smartweb.sk	Ubytovanie v súkromí Privat Rooms Vilo: menej zmeškaných rezervácií (AI recepcia)
More Than Accommodation	Petržalka	recepcia@morethan.sk	More Than Accommodation: menej zmeškaných rezervácií (AI recepcia)
BEIGLI Hotel & Garden	Bratislava	office@hotelbeigli.sk	BEIGLI Hotel & Garden: menej zmeškaných rezervácií (AI recepcia)
Garni Hotel DOCK	Bratislava	recepcia@hoteldock.sk	Garni Hotel DOCK: menej zmeškaných rezervácií (AI recepcia)
Botel Dunajsky Pivovar	Bratislava	dunajskypivovar@dunajskypivovar.sk	Botel Dunajsky Pivovar: menej zmeškaných rezervácií (AI recepcia)
Uninova Hostel	Bratislava	uninovahostel@uninovahostel.sk	Uninova Hostel: menej zmeškaných rezervácií (AI recepcia)
Reštaurácia Albrecht	Staré Mesto	restaurant@hotelalbrecht.sk	Reštaurácia Albrecht: menej zmeškaných rezervácií (AI recepcia)
Hotel Arcus	Bratislava	info@hotelarcus.sk	Hotel Arcus: menej zmeškaných rezervácií (AI recepcia)
Centrum účelových zariadení - Hotel SUZA	Bratislava	cuz@cuz.sk	Centrum účelových zariadení - Hotel SUZA: menej zmeškaných rezervácií (AI recepcia)
Hotel Esprit	Petržalka	hotelesprit@hotelesprit.sk	Hotel Esprit: menej zmeškaných rezervácií (AI recepcia)
Hyde Park Hostel	Bratislava	talentarium@gmail.com	Hyde Park Hostel: menej zmeškaných rezervácií (AI recepcia)
