idx,company,city,email,segment,readiness_score,confidence_score,offer_angle,query,brave_hits,from_cache,email_valid,generic_email,phone_present,website_present,online_booking_present,after_hours_claim,faq_coverage,multilingual_support,messaging_channel,handoff_signal,subject_v2,email_v2
1,Coimex Lufthansa City Center,Bratislava,,invalid_contact,10,91,Manualny kontakt,Coimex Lufthansa City Center Bratislava hotel booking check-in phone,5,1,0,0,1,0,1,1,1,1,1,1,Coimex Lufthansa City Center: odlahcenie recepcie cez AI,"Ahoj,

Narazil som na Coimex Lufthansa City Center v Bratislava a zaujalo ma, že veľa hostí rieši otázky ešte pred príchodom (check-in, parkovanie, dostupnosť).

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Coimex Lufthansa City Center.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
2,REVON Art - deco apartment Laurinska,Bratislava,revon.sro@gmail.com,automation_candidate,91,91,AI recepcia pre 24/7 odpovede a handoff,REVON Art - deco apartment Laurinska Bratislava hotel booking check-in phone site:www.revon.sk,1,0,1,0,1,1,1,1,1,0,1,1,REVON Art - deco apartment Laurinska: AI recepcia pre 24/7 hosti,"Ahoj,

Všimol som si REVON Art - deco apartment Laurinska v Bratislava – máte hodnotenie 5.0 (1 recenzií), pekný signál, že máte dobrý servis.

Mate dobru online pritomnost, takze AI recepcia vie rychlo pridat dalsiu vrstvu dostupnosti.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

AI recepcia pre 24/7 odpovede a handoff.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre REVON Art - deco apartment Laurinska.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
3,Einsteinova UFO Bridge,Petržalka,,invalid_contact,5,67,Manualny kontakt,Einsteinova UFO Bridge Petržalka hotel booking check-in phone,0,0,0,0,0,0,1,1,1,0,1,0,Einsteinova UFO Bridge: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Einsteinova UFO Bridge v Petržalka – máte hodnotenie 1.0 (2 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Einsteinova UFO Bridge.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
4,Ikaros Hotel,Bratislava,,invalid_contact,5,67,Manualny kontakt,Ikaros Hotel Bratislava hotel booking check-in phone,0,0,0,0,0,0,1,1,1,0,1,0,Ikaros Hotel: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Ikaros Hotel v Bratislava – máte hodnotenie 4.6 (5 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Ikaros Hotel.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
5,"Cozy, Brighton room with free parking",Bratislava,,invalid_contact,15,99,Manualny kontakt,"Cozy, Brighton room with free parking Bratislava hotel booking check-in phone site:booking.com",5,1,0,0,1,1,1,1,1,1,1,1,"Cozy, Brighton room with free parking: odlahcenie recepcie cez AI","Ahoj,

Všimol som si Cozy, Brighton room with free parking v Bratislava – máte hodnotenie 4.8 (6 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Cozy, Brighton room with free parking.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
6,Garage Vysoka (AC Hotel),Bratislava,,invalid_contact,15,91,Manualny kontakt,Garage Vysoka (AC Hotel) Bratislava hotel booking check-in phone site:acbratislava.com,0,0,0,0,1,1,1,1,1,0,1,1,Garage Vysoka (AC Hotel): odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Garage Vysoka (AC Hotel) v Bratislava – máte hodnotenie 4.4 (7 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Garage Vysoka (AC Hotel).
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
7,Gremium apartments,Staré Mesto,,invalid_contact,15,91,Manualny kontakt,Gremium apartments Staré Mesto hotel booking check-in phone site:gremiumapartments.sk,0,0,0,0,1,1,1,1,1,0,1,1,Gremium apartments: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Gremium apartments v Staré Mesto – máte hodnotenie 4.0 (8 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Gremium apartments.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
8,Optimum Devinska,Devínska Nová Ves,,invalid_contact,5,67,Manualny kontakt,Optimum Devinska Devínska Nová Ves hotel booking check-in phone,0,0,0,0,0,0,1,1,1,0,1,0,Optimum Devinska: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Optimum Devinska v Devínska Nová Ves – máte hodnotenie 4.1 (14 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Optimum Devinska.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
9,Zen Zone Hostel,Bratislava,,invalid_contact,10,83,Manualny kontakt,Zen Zone Hostel Bratislava hotel booking check-in phone,0,0,0,0,1,0,1,1,1,0,1,1,Zen Zone Hostel: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Zen Zone Hostel v Bratislava – máte hodnotenie 3.5 (26 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Zen Zone Hostel.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
10,Best view apartment,Bratislava,,invalid_contact,10,83,Manualny kontakt,Best view apartment Bratislava hotel booking check-in phone,0,0,0,0,1,0,1,1,1,0,1,1,Best view apartment: odlahcenie recepcie cez AI,"Ahoj,

Všimol som si Best view apartment v Bratislava – máte hodnotenie 4.5 (27 recenzií), pekný signál, že máte dobrý servis.

Nemam overeny kontakt, preto posielam len navrh textu.
Pomahame ubytovaniam nasadit AI recepciu, ktora:
- odpovie hostom 24/7 (SK/EN),
- vybavi check-in/check-out, parkovanie, dostupnost a bezne otazky,
- pri specialnom pripade prepoji hosta na cloveka.

Manualny kontakt.

Ak chces, ukazem ti 15-min demo na realnych scenaroch pre Best view apartment.
Vyhovuje skor utorok 10:00 alebo streda 14:30?

- Adam"
